asicid asicch remapch detid detch
0 0 0 0 0
0 1 -1 0 -1
0 2 1 0 1
0 3 -1 0 -1
0 4 2 0 2
0 5 -1 0 -1
0 6 3 0 3
0 7 -1 0 -1
0 8 4 0 4
0 9 -1 0 -1
0 10 5 0 5
0 11 -1 0 -1
0 12 6 0 6
0 13 -1 0 -1
0 14 7 0 7
0 15 -1 0 -1
0 16 8 0 8
0 17 -1 0 -1
0 18 9 0 9
0 19 -1 0 -1
0 20 10 0 10
0 21 -1 0 -1
0 22 11 0 11
0 23 -1 0 -1
0 24 12 0 12
0 25 -1 0 -1
0 26 13 0 13
0 27 -1 0 -1
0 28 14 0 14
0 29 -1 0 -1
0 30 15 0 15
0 31 -1 0 -1
0 32 16 0 16
0 33 -1 0 -1
0 34 17 0 17
0 35 -1 0 -1
0 36 18 0 18
0 37 -1 0 -1
0 38 19 0 19
0 39 -1 0 -1
0 40 20 0 20
0 41 -1 0 -1
0 42 21 0 21
0 43 -1 0 -1
0 44 22 0 22
0 45 -1 0 -1
0 46 23 0 23
0 47 -1 0 -1
0 48 24 0 24
0 49 -1 0 -1
0 50 25 0 25
0 51 -1 0 -1
0 52 26 0 26
0 53 -1 0 -1
0 54 27 0 27
0 55 -1 0 -1
0 56 28 0 28
0 57 -1 0 -1
0 58 29 0 29
0 59 -1 0 -1
0 60 30 0 30
0 61 -1 0 -1
0 62 31 0 31
0 63 -1 0 -1
1 0 32 0 32
1 1 -1 0 -1
1 2 33 0 33
1 3 -1 0 -1
1 4 34 0 34
1 5 -1 0 -1
1 6 35 0 35
1 7 -1 0 -1
1 8 36 0 36
1 9 -1 0 -1
1 10 37 0 37
1 11 -1 0 -1
1 12 38 0 38
1 13 -1 0 -1
1 14 39 0 39
1 15 -1 0 -1
1 16 40 0 40
1 17 -1 0 -1
1 18 41 0 41
1 19 -1 0 -1
1 20 42 0 42
1 21 -1 0 -1
1 22 43 0 43
1 23 -1 0 -1
1 24 44 0 44
1 25 -1 0 -1
1 26 45 0 45
1 27 -1 0 -1
1 28 46 0 46
1 29 -1 0 -1
1 30 47 0 47
1 31 -1 0 -1
1 32 48 0 48
1 33 -1 0 -1
1 34 49 0 49
1 35 -1 0 -1
1 36 50 0 50
1 37 -1 0 -1
1 38 51 0 51
1 39 -1 0 -1
1 40 52 0 52
1 41 -1 0 -1
1 42 53 0 53
1 43 -1 0 -1
1 44 54 0 54
1 45 -1 0 -1
1 46 55 0 55
1 47 -1 0 -1
1 48 56 0 56
1 49 -1 0 -1
1 50 57 0 57
1 51 -1 0 -1
1 52 58 0 58
1 53 -1 0 -1
1 54 59 0 59
1 55 -1 0 -1
1 56 60 0 60
1 57 -1 0 -1
1 58 61 0 61
1 59 -1 0 -1
1 60 62 0 62
1 61 -1 0 -1
1 62 63 0 63
1 63 -1 0 -1
2 0 64 0 64
2 1 -1 0 -1
2 2 65 0 65
2 3 -1 0 -1
2 4 66 0 66
2 5 -1 0 -1
2 6 67 0 67
2 7 -1 0 -1
2 8 68 0 68
2 9 -1 0 -1
2 10 69 0 69
2 11 -1 0 -1
2 12 70 0 70
2 13 -1 0 -1
2 14 71 0 71
2 15 -1 0 -1
2 16 72 0 72
2 17 -1 0 -1
2 18 73 0 73
2 19 -1 0 -1
2 20 74 0 74
2 21 -1 0 -1
2 22 75 0 75
2 23 -1 0 -1
2 24 76 0 76
2 25 -1 0 -1
2 26 77 0 77
2 27 -1 0 -1
2 28 78 0 78
2 29 -1 0 -1
2 30 79 0 79
2 31 -1 0 -1
2 32 80 0 80
2 33 -1 0 -1
2 34 81 0 81
2 35 -1 0 -1
2 36 82 0 82
2 37 -1 0 -1
2 38 83 0 83
2 39 -1 0 -1
2 40 84 0 84
2 41 -1 0 -1
2 42 85 0 85
2 43 -1 0 -1
2 44 86 0 86
2 45 -1 0 -1
2 46 87 0 87
2 47 -1 0 -1
2 48 88 0 88
2 49 -1 0 -1
2 50 89 0 89
2 51 -1 0 -1
2 52 90 0 90
2 53 -1 0 -1
2 54 91 0 91
2 55 -1 0 -1
2 56 92 0 92
2 57 -1 0 -1
2 58 93 0 93
2 59 -1 0 -1
2 60 94 0 94
2 61 -1 0 -1
2 62 95 0 95
2 63 -1 0 -1
3 0 96 0 96
3 1 -1 0 -1
3 2 97 0 97
3 3 -1 0 -1
3 4 98 0 98
3 5 -1 0 -1
3 6 99 0 99
3 7 -1 0 -1
3 8 100 0 100
3 9 -1 0 -1
3 10 101 0 101
3 11 -1 0 -1
3 12 102 0 102
3 13 -1 0 -1
3 14 103 0 103
3 15 -1 0 -1
3 16 104 0 104
3 17 -1 0 -1
3 18 105 0 105
3 19 -1 0 -1
3 20 106 0 106
3 21 -1 0 -1
3 22 107 0 107
3 23 -1 0 -1
3 24 108 0 108
3 25 -1 0 -1
3 26 109 0 109
3 27 -1 0 -1
