detid detch detector_material detector_HV pos_x pos_y pos_z delta_x delta_y delta_z badch
0 0 1 0 -15.875 -1 0 0.2 -1 0.75 1
0 1 1 0 -15.625 -1 0 0.2 -1 0.75 0
0 2 1 0 -15.375 -1 0 0.2 -1 0.75 0
0 3 1 0 -15.125 -1 0 0.2 -1 0.75 0
0 4 1 0 -14.875 -1 0 0.2 -1 0.75 0
0 5 1 0 -14.625 -1 0 0.2 -1 0.75 0
0 6 1 0 -14.375 -1 0 0.2 -1 0.75 0
0 7 1 0 -14.125 -1 0 0.2 -1 0.75 0
0 8 1 0 -13.875 -1 0 0.2 -1 0.75 0
0 9 1 0 -13.625 -1 0 0.2 -1 0.75 0
0 10 1 0 -13.375 -1 0 0.2 -1 0.75 0
0 11 1 0 -13.125 -1 0 0.2 -1 0.75 0
0 12 1 0 -12.875 -1 0 0.2 -1 0.75 0
0 13 1 0 -12.625 -1 0 0.2 -1 0.75 0
0 14 1 0 -12.375 -1 0 0.2 -1 0.75 0
0 15 1 0 -12.125 -1 0 0.2 -1 0.75 0
0 16 1 0 -11.875 -1 0 0.2 -1 0.75 0
0 17 1 0 -11.625 -1 0 0.2 -1 0.75 0
0 18 1 0 -11.375 -1 0 0.2 -1 0.75 0
0 19 1 0 -11.125 -1 0 0.2 -1 0.75 0
0 20 1 0 -10.875 -1 0 0.2 -1 0.75 0
0 21 1 0 -10.625 -1 0 0.2 -1 0.75 0
0 22 1 0 -10.375 -1 0 0.2 -1 0.75 0
0 23 1 0 -10.125 -1 0 0.2 -1 0.75 0
0 24 1 0 -9.875 -1 0 0.2 -1 0.75 0
0 25 1 0 -9.625 -1 0 0.2 -1 0.75 0
0 26 1 0 -9.375 -1 0 0.2 -1 0.75 0
0 27 1 0 -9.125 -1 0 0.2 -1 0.75 0
0 28 1 0 -8.875 -1 0 0.2 -1 0.75 0
0 29 1 0 -8.625 -1 0 0.2 -1 0.75 0
0 30 1 0 -8.375 -1 0 0.2 -1 0.75 0
0 31 1 0 -8.125 -1 0 0.2 -1 0.75 0
0 32 1 0 -7.875 -1 0 0.2 -1 0.75 0
0 33 1 0 -7.625 -1 0 0.2 -1 0.75 0
0 34 1 0 -7.375 -1 0 0.2 -1 0.75 0
0 35 1 0 -7.125 -1 0 0.2 -1 0.75 0
0 36 1 0 -6.875 -1 0 0.2 -1 0.75 0
0 37 1 0 -6.625 -1 0 0.2 -1 0.75 0
0 38 1 0 -6.375 -1 0 0.2 -1 0.75 0
0 39 1 0 -6.125 -1 0 0.2 -1 0.75 0
0 40 1 0 -5.875 -1 0 0.2 -1 0.75 0
0 41 1 0 -5.625 -1 0 0.2 -1 0.75 0
0 42 1 0 -5.375 -1 0 0.2 -1 0.75 0
0 43 1 0 -5.125 -1 0 0.2 -1 0.75 0
0 44 1 0 -4.875 -1 0 0.2 -1 0.75 0
0 45 1 0 -4.625 -1 0 0.2 -1 0.75 0
0 46 1 0 -4.375 -1 0 0.2 -1 0.75 0
0 47 1 0 -4.125 -1 0 0.2 -1 0.75 0
0 48 1 0 -3.875 -1 0 0.2 -1 0.75 0
